               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.031292,           0.0093995,           0.0027516,             0.97531,             0.90442,              0.9463,              0.6201,            0.024208,           0.0053179,           0.0024724,           0.0061824,           0.0061824,            0.027082
                  36,            0.032769,           0.0094708,           0.0030516,             0.94974,               0.834,             0.88903,             0.60491,            0.026482,           0.0062427,           0.0038383,           0.0062626,           0.0062626,            0.024963
                  37,            0.028992,           0.0088838,           0.0026279,             0.93138,             0.92236,             0.94812,             0.63846,            0.024651,           0.0051999,           0.0022678,           0.0063365,           0.0063365,            0.022836
                  38,            0.030417,           0.0090638,           0.0025052,              0.9504,             0.91589,             0.94334,             0.66765,            0.022301,           0.0051442,           0.0021523,           0.0064039,           0.0064039,            0.020704
                  39,            0.029371,           0.0089017,           0.0023923,             0.95974,             0.87658,             0.91785,             0.62114,            0.026233,           0.0053805,           0.0021802,            0.006465,            0.006465,            0.018565
                  40,            0.029992,           0.0088462,           0.0025497,             0.89625,             0.92416,             0.93232,             0.66166,            0.021463,           0.0051827,           0.0023549,           0.0065197,           0.0065197,             0.01642
                  41,            0.028074,           0.0088448,           0.0024729,             0.98132,               0.911,             0.96354,             0.67702,            0.020461,           0.0050733,           0.0021279,            0.006568,            0.006568,            0.014268
                  42,            0.027655,           0.0091483,           0.0024203,             0.94502,             0.93102,              0.9381,             0.67582,            0.020918,              0.0052,           0.0021021,             0.00661,             0.00661,             0.01211
                  43,            0.027061,           0.0088741,           0.0024627,             0.97924,             0.88621,             0.92872,             0.65807,            0.020616,           0.0051036,           0.0021957,           0.0066458,           0.0066458,           0.0099458
                  44,            0.027709,           0.0084792,           0.0024692,             0.99045,             0.90551,             0.94317,             0.68085,            0.020076,           0.0052273,           0.0019294,           0.0066753,           0.0066753,           0.0077753
                  45,            0.027073,           0.0085981,            0.002144,             0.95089,             0.91273,             0.94511,             0.65187,             0.02078,           0.0052521,           0.0019232,           0.0066257,           0.0066257,           0.0066257
                  46,            0.025557,           0.0084764,           0.0021549,             0.98717,              0.8669,             0.90964,              0.6491,            0.020503,           0.0056436,           0.0020908,           0.0066257,           0.0066257,           0.0066257
                  47,            0.024798,           0.0084181,           0.0022133,               0.945,             0.92073,             0.93519,             0.68194,            0.020254,           0.0052553,           0.0020264,           0.0065013,           0.0065013,           0.0065013
                  48,             0.02358,           0.0082414,           0.0018681,             0.99425,             0.88316,             0.93086,             0.70337,            0.019553,           0.0049787,           0.0019228,           0.0063764,           0.0063764,           0.0063764
